Maquina,Rodada,Date,Time,Origem_Arquivo,Relógios núcleo (avg) [MHz],Relógios efetivos núcleo (avg) [MHz],Uso total da CPU [%],Carga do núcleo da GPU [%],CPU Inteira [°C],CPU Inteira [°C].1,Núcleo máximo [°C],Estrangulamento térmico do núcleo (avg) [Yes/Não],Distância do núcleo para TjMAX (avg) [°C],Potência total da CPU [W],IA: Package-Level RAPL/PBM PL1 [Yes/Não],IA: Package-Level RAPL/PBM PL2 PL3 [Yes/Não],Limite de desempenho - Térmico [Yes/Não],Relógio da memória [MHz],Taxa de leituras [MB/s],Taxa de gravações [MB/s],Potência das linhas GPU (avg) [W],GPU Clock [MHz].1,GPU Clock [MHz],Limite térmico da GPU [°C]
Máquina B,4,17.6.2026,13:23:45.414,maqB_rodada_04.csv,2573.7,363.7,10.1,0.0,62,63,62,Não,43,12.535,Não,Não,,1330.1,0.0,0.002,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:47.406,maqB_rodada_04.csv,1107.3,206.9,6.8,0.0,54,54,52,Não,49,7.25,Não,Não,,1330.1,0.0,0.041,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:49.429,maqB_rodada_04.csv,1197.1,47.4,4.1,0.0,53,53,52,Não,49,7.25,Não,Não,,1330.1,0.016,0.012,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:51.418,maqB_rodada_04.csv,2314.3,50.0,3.2,0.0,55,53,55,Não,48,3.123,Não,Não,,1330.1,0.0,0.02,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:53.422,maqB_rodada_04.csv,2144.8,333.3,10.5,0.0,69,69,69,Não,42,2.62,Não,Não,,1330.1,0.0,0.015,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:55.439,maqB_rodada_04.csv,1137.2,218.1,7.8,0.0,53,53,53,Não,49,10.251,Não,Não,,1330.1,0.0,0.003,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:57.415,maqB_rodada_04.csv,1127.2,44.9,3.1,0.0,53,53,52,Não,49,7.588,Não,Não,,1330.1,0.0,0.04,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:23:59.417,maqB_rodada_04.csv,1227.0,63.7,4.2,0.0,53,53,51,Não,50,2.672,Não,Não,,1330.1,0.0,0.008,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:24:1.415,maqB_rodada_04.csv,2394.1,368.3,11.9,0.0,70,70,71,Não,44,3.056,Não,Não,,1330.1,0.012,0.004,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:24:3.415,maqB_rodada_04.csv,2254.5,396.2,10.9,0.0,65,66,65,Não,44,10.096,Não,Não,,1330.1,0.0,0.025,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:24:5.421,maqB_rodada_04.csv,1057.4,74.7,4.4,0.0,53,53,51,Não,50,11.942,Não,Não,,1330.1,0.0,0.024,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:24:7.421,maqB_rodada_04.csv,1067.4,49.2,4.1,0.0,53,53,52,Não,50,3.072,Não,Não,,1330.1,0.0,0.043,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:24:9.418,maqB_rodada_04.csv,2124.8,159.5,6.9,0.0,60,62,60,Não,46,3.033,Não,Não,,1330.1,0.065,0.138,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:24:11.435,maqB_rodada_04.csv,2513.9,351.4,9.9,0.0,66,74,66,Não,42,5.894,Não,Não,,1330.1,0.0,0.084,0.0,0.0,300.0,0.0
Máquina B,4,17.6.2026,13:24:13.441,maqB_rodada_04.csv,2493.9,362.2,10.0,0.0,63,69,63,Não,43,11.164,Não,Não,,1330.1,0.0,0.032,0.0,0.0,300.0,0.0
